Size	Alpha	Min	TAR
90	3	37.70693647	0.059
95	3	38.60596398	0.0537
100	3	41.05906304	0.0286
60	5	26.57727128	0.6386
65	5	25.05312734	0.5134
70	5	29.15000825	0.4401
75	5	28.35462309	0.2934
80	5	35.40871547	0.2451
85	5	33.92237016	0.1342
90	5	33.30987016	0.1395
95	5	38.20683045	0.1038
100	5	38.13665877	0.0644
60	8	24.46957516	0.8157
65	8	23.85966457	0.6977
70	8	23.7660067	0.5617
75	8	26.32712107	0.4544
80	8	30.04275126	0.347
85	8	30.38972573	0.2898
90	8	31.21575805	0.2147
95	8	31.18840786	0.1646
100	8	32.14073855	0.0966
60	10	19.56045984	0.8855
65	10	23.2972822	0.7531
70	10	19.80467042	0.6619
75	10	23.88840489	0.5349
80	10	25.67298483	0.4669
85	10	22.89389292	0.3488
90	10	26.87686553	0.229
95	10	24.23279475	0.2826
100	10	27.02290357	0.1449
60	12	18.65180149	0.9195
65	12	19.16822722	0.8032
70	12	21.88889394	0.7013
75	12	18.98837216	0.6583
80	12	21.18959059	0.5027
85	12	23.87592257	0.3971
90	12	25.03482565	0.3828
95	12	22.24778168	0.288
100	12	24.97562075	0.22
60	15	13.93015525	0.9356
65	15	14.95118263	0.9123
70	15	15.62476366	0.8408
75	15	17.65189063	0.7764
80	15	18.02857242	0.6565
85	15	16.39228113	0.5492
90	15	20.60704526	0.5009
95	15	16.94117114	0.3882
100	15	18.80203493	0.3184
60	20	11.53337377	0.9624
65	20	11.76492099	0.9302
70	20	11.91253988	0.8694
75	20	10.9245697	0.7961
80	20	12.98098073	0.7263
85	20	15.48406934	0.619
90	20	15.80895243	0.5635
95	20	15.87849406	0.517
100	20	16.79603324	0.4383
